"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20161017OB-UV-3","Eucalyptol",12.85,16254846,"U4.P"
"2","20161017OB-UV-3","Ocimene",13.675,2984295,"U4.P"
"3","20161017OB-UV-3","terpinolene",15.484,246815,"U4.P"
"4","20161017OB-UV-3","linalool",16.454,26271846,"U4.P"
"5","20161017OB-UV-3","camphor",18.412,323891,"U4.P"
"6","20161017OB-UV-3","endo-borneol",19.658,209396,"U4.P"
"7","20161017OB-UV-3","alpha-terpineol",20.847,576266,"U4.P"
"8","20161017OB-UV-3","octyl acetate",21.77,1819542,"U4.P"
"9","20161017OB-UV-3","chavicol",23.6,49093,"U4.P"
"10","20161017OB-UV-3","bornyl acetate",25.005,4136811,"U4.P"
"11","20161017OB-UV-3","gamma-elemene",27.114,2017105,"U4.P"
"12","20161017OB-UV-3","eugenol",28.252,23130086,"U4.P"
"13","20161017OB-UV-3","alpha-copaene",29.001,752798,"U4.P"
"14","20161017OB-UV-3","beta-elemene",29.342,579432,"U4.P"
"15","20161017OB-UV-3","sesquiterpene a",29.653,11180567,"U4.P"
"16","20161017OB-UV-3","methyleugenol",29.833,284926,"U4.P"
"17","20161017OB-UV-3","trans-alpha-bergamotene",30.658,373781,"U4.P"
"18","20161017OB-UV-3","beta-ylangene",30.797,1317075,"U4.P"
"19","20161017OB-UV-3","cis-alpha-bergamotene",31.623,39280523,"U4.P"
"20","20161017OB-UV-3","alpha-copaene",31.977,2193403,"U4.P"
"21","20161017OB-UV-3","humulene",32.347,3111881,"U4.P"
"22","20161017OB-UV-3","cis-beta-farnesene",32.438,2218860,"U4.P"
"23","20161017OB-UV-3","cis-muurola-4(15),5-diene",32.606,2317004,"U4.P"
"24","20161017OB-UV-3","Germacrene D",33.4,8953645,"U4.P"
"25","20161017OB-UV-3","bicyclogermacrene",33.985,5115657,"U4.P"
"26","20161017OB-UV-3","alpha-bulnesene",34.263,5529774,"U4.P"
"27","20161017OB-UV-3","gamma-cadinene",34.731,8267768,"U4.P"
"28","20161017OB-UV-3","delta-cadinene",34.93,365172,"U4.P"
"29","20161017OB-UV-3","sesquiterpene b",35.202,761564,"U4.P"
"30","20161017OB-UV-3","alpha-cadinene",35.607,157651,"U4.P"
"31","20161017OB-UV-3","nerolidol",36.726,30067,"U4.P"
"32","20161017OB-UV-3","epicubenol",38.623,162232,"U4.P"
"33","20161017OB-UV-3","tau-cadinol",39.654,797498,"U4.P"
